method,method_key,avg_ev,avg_la,avg_xba,avg_xwoba,hard_hit_rate,barrel_rate,ba,obp,slg,ops
Context baseline,context,0.89,1.81,0.014,0.022,0.019,0.013,0.018,0.023,0.038,0.050
Structured sequence deterministic,structured_sequence,6.11,4.30,0.211,0.318,0.249,0.177,0.020,0.025,0.049,0.064
Detection/Tracking/Pose TCN,pose_object_tcn,5.60,5.60,0.186,0.141,0.080,0.071,0.021,0.024,0.048,0.063
Raw video lightweight,raw_video_lightweight,88.04,11.83,0.235,0.294,0.129,0.452,0.021,0.024,0.049,0.064
Raw video frozen encoder,raw_video_frozen,6.78,7.17,0.209,0.310,0.193,0.126,0.020,0.024,0.049,0.063
Raw video DNN fine-tune,raw_video_finetune,11.21,9.41,0.204,0.419,0.224,0.210,0.021,0.025,0.047,0.063
Player-season mechanics prior,player_season,2.15,4.29,0.026,0.039,0.065,0.030,0.024,0.029,0.060,0.082
VLM mechanics features,vlm,4.72,4.34,0.241,0.368,0.158,0.186,0.019,0.024,0.050,0.065
Late fusion,fusion,0.91,1.81,0.015,0.023,0.019,0.014,0.018,0.024,0.038,0.050
