method,method_key,ev,la,hard_hit,barrel,xba,xwoba
Context baseline,context,9.63,20.32,0.196,0.070,0.236,0.282
Structured sequence deterministic,structured_sequence,10.80,15.02,0.235,0.181,0.246,0.365
Detection/Tracking/Pose TCN,pose_object_tcn,13.12,15.79,0.260,0.183,0.250,0.355
Raw video lightweight,raw_video_lightweight,90.59,20.84,0.249,0.266,0.254,0.555
Raw video frozen encoder,raw_video_frozen,10.39,13.12,0.195,0.127,0.232,0.291
Raw video DNN fine-tune,raw_video_finetune,9.64,11.94,0.113,0.045,0.187,0.243
VLM mechanics features,vlm,11.91,13.05,0.237,0.197,0.215,0.393
Late fusion,fusion,9.64,20.32,0.196,0.070,0.236,0.282
